"Admitted","Disposition_binary","Place","F_Aid","Species_e","Sex_e","Age_e","Brought_in_after","season","r","Green_Orange","ID"
"4/27/2009","Died","Lindsey","Yes","ANHU","Male",NA,1,"Spring","suspect torpor-like state","Non-selasphorus spp.","3711_ANHU"
"2/26/2000","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","nest-related","Non-selasphorus spp.","1748_ANHU"
"5/13/2016","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","caught by domestic animal","Non-selasphorus spp.","5606_ANHU"
"4/4/1994","Died","Lindsey","No","Selasphorus","Female-like ",NA,0,"Spring","unknown","Selasphorus spp.","598_ALHU"
"7/15/2005","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Summer","nest-related","Non-selasphorus spp.","2961_ANHU"
"7/9/2015","Released","Lindsey","No","Selasphorus","unknown",NA,0,"Summer","nest-related","Selasphorus spp.","5414_ALHU"
"6/28/2014","Died","malibu","Yes","Selasphorus","unknown",NA,2,"Summer","nest-related","Selasphorus spp.","6153_ALHU"
"6/28/2002","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Summer","nest-related","Non-selasphorus spp.","2291_ANHU"
"7/10/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found on the ground","Non-selasphorus spp.","1099_ANHU"
"3/24/2009","Released","Lindsey","No","Selasphorus","Female-like ",NA,0,"Spring","found on the ground","Selasphorus spp.","3659_ALHU"
"3/14/1997","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","1174_ANHU"
"4/23/2000","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","1805_ANHU"
"5/4/2009","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","3715_ANHU"
"7/15/2015","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","6580_ALHU"
"3/14/2014","Released","Lindsey","No","Non-selasphorus","unknown",NA,0,"Spring","caught by domestic animal","Non-selasphorus spp.","4902_ANHU"
"4/12/2011","Released","Lindsey","Yes","ANHU","Male",NA,0,"Spring","nest-related","Non-selasphorus spp.","4168_ANHU"
"3/18/1996","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","986_ANHU"
"3/12/2016","Died","Lindsey","No","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5523_ANHU"
"6/10/2013","Died","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5968_ALHU"
"4/11/2016","Died","malibu","No","Selasphorus","Female-like ",NA,11,"Spring","unknown","Selasphorus spp.","6686_ALHU"
"1/20/2013","Died","Lindsey","Yes","ANHU","Male",NA,0,"Winter","window hit","Non-selasphorus spp.","4594_ANHU"
"4/11/2016","Died","Lindsey","Yes","ANHU","Male",NA,0,"Spring","found on the ground","Non-selasphorus spp.","5575_ANHU"
"3/3/1996","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","window hit","Non-selasphorus spp.","964_ANHU"
"3/8/2005","Released","Lindsey","Yes","ANHU","Female-like ",NA,7,"Spring","nest-related","Non-selasphorus spp.","2810_ANHU"
"5/23/1994","Died","Lindsey","No","ANHU","Female-like ",NA,1,"Spring","caught by domestic animal","Non-selasphorus spp.","646_ANHU"
"9/3/1998","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","caught by domestic animal","Non-selasphorus spp.","1496_ANHU"
"5/16/2015","Released","malibu","No","Selasphorus","unknown",NA,0,"Spring","unknown","Selasphorus spp.","6610_ALHU"
"12/30/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Winter","window hit","Non-selasphorus spp.","2585_ANHU"
"4/6/2003","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2441_ANHU"
"1/29/1997","Released","Lindsey","No","ANHU","Female-like ",NA,1,"Winter","window hit","Non-selasphorus spp.","1149_ANHU"
"3/29/2016","Released","malibu","No","Selasphorus","unknown",NA,-48,"Spring","nest-related","Selasphorus spp.","6713_ALHU"
"4/2/1999","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","1573_ANHU"
"6/15/1992","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Summer","found inside","Non-selasphorus spp.","318_ANHU"
"3/22/2014","Released","malibu","No","Selasphorus","unknown",NA,0,"Spring","found on the ground","Selasphorus spp.","6193_ALHU"
"12/11/2014","Died","malibu","Yes","Selasphorus","Female-like ",NA,0,"Winter","found on the ground","Selasphorus spp.","6267_ALHU"
"3/24/2006","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,1,"Spring","found on the ground","Non-selasphorus spp.","3035_ANHU"
"6/1/2013","Released","malibu","No","Selasphorus","Female-like ",NA,0,"Summer","unknown","Selasphorus spp.","5958_ALHU"
"5/21/2002","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","found on the ground","Non-selasphorus spp.","2247_ANHU"
"3/24/1991","Released","Lindsey","No","Non-selasphorus","unknown",NA,1,"Spring","unknown","Non-selasphorus spp.","43_ANHU"
"5/6/2013","Released","malibu","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","5933_ANHU"
"10/28/2006","Released","Lindsey","No","ANHU","Female-like ",NA,7,"Fall","caught by domestic animal","Non-selasphorus spp.","3163_ANHU"
"4/20/2010","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","3925_ANHU"
"2/23/2010","Died","Lindsey","No","Non-selasphorus","unknown",NA,0,"Winter","found on the ground","Non-selasphorus spp.","3871_ANHU"
"5/12/2004","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,2,"Spring","nest-related","Non-selasphorus spp.","2690_ANHU"
"8/30/2012","Died","Lindsey","No","Selasphorus","Male",NA,0,"Summer","found on the ground","Selasphorus spp.","4560_ALHU"
"5/21/2016","Died","Santa Barbara","Yes","ANHU","Female-like ",NA,0,"Spring","unknown","Non-selasphorus spp.","6876_ANHU"
"10/15/2009","Died","Lindsey","No","ANHU","Male",NA,0,"Fall","found on the ground","Non-selasphorus spp.","3824_ANHU"
"4/8/2015","Released","Lindsey","Yes","Non-selasphorus","unknown",NA,0,"Spring","nest-related","Non-selasphorus spp.","5253_ANHU"
"4/25/2014","Died","malibu","Yes","Selasphorus","Female-like ",NA,2,"Spring","unknown","Selasphorus spp.","6104_ALHU"
"9/20/2013","Died","Lindsey","No","ANHU","Female-like ",NA,0,"Fall","found inside","Non-selasphorus spp.","4815_ANHU"
"9/11/2011","Released","Lindsey","No","ANHU","Male",NA,0,"Fall","window hit","Non-selasphorus spp.","4306_ANHU"
"3/20/2001","Died","Lindsey","Yes","ANHU","Female-like ",NA,0,"Spring","nest-related","Non-selasphorus spp.","1994_ANHU"
